Tanggal,Nama Pelanggan,Harga,Status,Status Pembayaran,Tipe Perjalanan,Length,Recency,Frequency,Monetary
2022-09-19,IPu,0.45833333333333337,DEAL,LUNAS,PP,0.3157524613220816,0.3277074542897328,0.012987012987012988,0.053148345784418356
2022-09-20,GSs,0.483974358974359,DEAL,LUNAS,PP,0.3150492264416315,0.005625879043600563,0.4545454545454546,0.23137673425827107
2022-09-20,TBe,0.19230769230769232,DEAL,LUNAS,Drop,0.3150492264416315,0.3270042194092827,0.0,0.012806830309498399
2022-09-20,IBr,0.20192307692307693,DEAL,LUNAS,PP,0.3150492264416315,0.3073136427566807,0.012987012987012988,0.016648879402347917
2022-09-21,PMs,0.20192307692307693,DEAL,LUNAS,PP,0.3143459915611815,0.32630098452883266,0.0,0.01344717182497332
2022-09-22,BQo,0.3044871794871795,DEAL,LUNAS,PP,0.3136427566807314,0.32559774964838256,0.025974025974025972,0.06168623265741729
2022-09-23,GRi,0.08333333333333334,DEAL,LUNAS,PP,0.31293952180028134,0.06891701828410689,0.07792207792207792,0.06937033084311633
2022-09-24,LPi,0.576923076923077,DEAL,LUNAS,PP,0.31223628691983124,0.15963431786216598,0.025974025974025972,0.09733191035218783
2022-09-24,SSi,0.20192307692307693,DEAL,LUNAS,PP,0.31223628691983124,0.3241912798874824,0.025974025974025972,0.03607257203842049
2022-09-27,PEa,0.25641025641025644,DEAL,LUNAS,PP,0.31012658227848106,0.32208157524613223,0.0,0.017075773745997867
2022-09-27,IOg,0.38461538461538464,DEAL,LUNAS,PP,0.31012658227848106,0.19690576652601968,0.03896103896103896,0.08986125933831376
2022-09-27,BWf,0.07051282051282051,DEAL,LUNAS,PP,0.31012658227848106,0.32208157524613223,0.0,0.0046958377801494125
2022-09-29,MSy,0.1346153846153846,DEAL,LUNAS,PP,0.3087201125175809,0.3206751054852321,0.012987012987012988,0.022411953041622197
2022-09-29,BRi,0.20512820512820512,DEAL,LUNAS,PP,0.3087201125175809,0.07172995780590717,0.03896103896103896,0.05101387406616862
2022-09-30,SM4,0.3782051282051282,DEAL,LUNAS,PP,0.3080168776371308,0.319971870604782,0.025974025974025972,0.07556029882604055
2022-09-30,GSh,0.20192307692307693,DEAL,LUNAS,Drop,0.3080168776371308,0.319971870604782,0.0,0.01344717182497332
2022-10-03,STr,0.1918269230769231,DEAL,LUNAS,PP,0.30590717299578063,0.051336146272855133,0.2077922077922078,0.14383137673425828
2022-10-03,PRn,0.1955128205128205,DEAL,LUNAS,PP,0.30590717299578063,0.0710267229254571,0.03896103896103896,0.07235859124866595
2022-10-03,PSe,0.1955128205128205,DEAL,LUNAS,PP,0.30590717299578063,0.3178621659634318,0.0,0.013020277481323372
2022-10-04,SCt,0.13782051282051283,DEAL,LUNAS,drop,0.30520393811533053,0.04992967651195499,0.3116883116883117,0.24183564567769478
2022-10-05,BFz,0.20833333333333334,DEAL,LUNAS,PP,0.3045007032348805,0.31645569620253167,0.0,0.013874066168623266
2022-10-05,WMk,0.20833333333333334,DEAL,LUNAS,PP,0.3045007032348805,0.31645569620253167,0.0,0.013874066168623266
2022-10-05,DFA,0.1891025641025641,DEAL,LUNAS,PP,0.3045007032348805,0.31645569620253167,0.0,0.012593383137673426
2022-10-06,IDk,0.5,DEAL,LUNAS,PP,0.3037974683544304,0.31575246132208157,0.0,0.033297758804695834
2022-10-10,KAI,0.11217948717948718,DEAL,LUNAS,PP,0.3009845288326301,0.3129395218002813,0.0,0.007470651013874066
2022-10-11,IIg,0.483974358974359,DEAL,LUNAS,PP,0.30028129395218006,0.31223628691983124,0.0,0.03223052294557097
2022-10-11,IBo,0.21794871794871795,DEAL,LUNAS,PP,0.30028129395218006,0.31223628691983124,0.0,0.014514407684098186
2022-10-12,IKi,0.3044871794871795,DEAL,LUNAS,PP,0.29957805907172996,0.14978902953586498,0.05194805194805195,0.07043756670224119
2022-10-13,IYg,0.08653846153846154,DEAL,LUNAS,PP,0.2988748241912799,0.3108298171589311,0.0,0.00576307363927428
2022-10-15,IWL,0.14743589743589744,DEAL,LUNAS,PP,0.2974683544303798,0.30942334739803096,0.0,0.009818569903948773
2022-10-15,BTk,0.20833333333333334,DEAL,LUNAS,PP,0.2974683544303798,0.24824191279887484,0.025974025974025972,0.035005336179295625
2022-10-18,SAs,0.12820512820512822,DEAL,LUNAS,Drop,0.29535864978902954,0.09071729957805907,0.012987012987012988,0.01814300960512273
